petname,sex,species,bornAt
Marle,Female,Cat,2012-09-20
Jaspe,Other,Bird,2012-12-22
Jessi,Male,Snake,2012-12-24
Spike,Female,Cow,2015-09-24
Gus,Other,Horse,2016-04-11
Nikki,Male,Fish,2016-05-24
Lexi,Female,Rat,2016-09-01
Honey,Other,Rabbit,2017-05-10
Snick,Male,Dog,2018-01-15
Mandy,Female,Cat,2018-09-18
Hanna,Other,Bird,2019-01-26
Luke,Male,Snake,2020-01-17
Baxte,Female,Cow,2020-05-28
Rex,Other,Horse,2020-08-26
Scoot,Male,Fish,2021-03-06
Sheba,Female,Rat,2021-08-01
Madis,Other,Rabbit,2006-02-02
Diese,Male,Dog,2007-07-22
Cooki,Female,Cat,2008-06-13
Patch,Other,Bird,2009-07-24
Dusty,Male,Snake,2009-09-23
Trixi,Female,Cow,2009-11-07
Stell,Other,Horse,2010-04-29
Jacks,Male,Fish,2010-08-18
Hersh,Female,Rat,2010-09-10
Tasha,Other,Rabbit,2011-05-05
Snoop,Male,Dog,2011-07-18
Cassi,Female,Cat,2012-03-11
Abbey,Other,Bird,2012-12-16
Rasca,Male,Snake,2013-08-14
Coppe,Female,Cow,2014-01-13
Boome,Other,Horse,2014-03-14
Preci,Male,Fish,2014-03-28
Lacey,Female,Rat,2015-10-25
Bo,Other,Rabbit,2016-08-08
Smoke,Male,Dog,2017-01-08
Milo,Female,Cat,2017-08-05
Brutu,Other,Bird,2019-04-27
Roxie,Male,Snake,2019-07-19
Samso,Female,Cow,2020-02-08
Winst,Other,Horse,2005-05-23
Otis,Male,Fish,2006-05-11
Dutch,Female,Rat,2007-01-26
Bruno,Other,Rabbit,2007-10-18
Taz,Male,Dog,2009-12-20
Maddi,Female,Cat,2010-03-06
Morga,Other,Bird,2011-08-29
Scout,Male,Snake,2011-10-06
Bubba,Female,Cow,2012-05-16
Amber,Other,Horse,2012-09-20
Midni,Male,Fish,2012-12-22
Chest,Female,Rat,2012-12-24
Barne,Other,Rabbit,2015-09-24
Joey,Male,Dog,2016-04-11
Mocha,Female,Cat,2016-05-24
Beau,Other,Bird,2016-09-01
Minni,Male,Snake,2017-05-10
Ellie,Female,Cow,2018-01-15
Rosco,Other,Horse,2018-09-18
Moose,Male,Fish,2019-01-26
Star,Female,Rat,2020-01-17
Phoeb,Other,Rabbit,2020-05-28
Buffy,Male,Dog,2020-08-26
Diamo,Female,Cat,2021-03-06
Ben,Other,Bird,2021-08-01
Dolly,Male,Snake,2006-02-02
Tyson,Female,Cow,2007-07-22
Louie,Other,Horse,2008-06-13
Brown,Male,Fish,2009-07-24
Nala,Female,Rat,2009-09-23
Henry,Other,Rabbit,2009-11-07
Dunca,Male,Dog,2010-04-29
Sydne,Female,Cat,2010-08-18
Samps,Other,Bird,2010-09-10
Shilo,Male,Snake,2011-05-05
Bentl,Female,Cow,2011-07-18
Libby,Other,Horse,2012-03-11
Sierr,Male,Fish,2012-12-16
Milli,Female,Rat,2013-08-14
Simon,Other,Rabbit,2014-01-13
Cosmo,Male,Dog,2014-03-14
Jeter,Female,Cat,2014-03-28
Champ,Other,Bird,2015-10-25
Georg,Male,Snake,2016-08-08
Jesse,Female,Cow,2017-01-08
Lulu,Other,Horse,2017-08-05
Maya,Male,Fish,2019-04-27
Muffi,Female,Rat,2019-07-19
Chico,Other,Rabbit,2020-02-08
Dozer,Male,Dog,2005-05-23
Gunne,Female,Cat,2006-05-11
Princ,Other,Bird,2007-01-26
Sugar,Male,Snake,2007-10-18
Rufus,Female,Cow,2009-12-20
Scoob,Other,Horse,2010-03-06
Cleo,Male,Fish,2011-08-29
Luna,Female,Rat,2011-10-06
Sally,Other,Rabbit,2012-05-16
Kelly,Male,Dog,2012-09-20
Leo,Female,Cat,2012-12-22
Tank,Other,Bird,2012-12-24
Willi,Male,Snake,2015-09-24
Bonni,Female,Cow,2016-04-11
Simba,Other,Horse,2016-05-24
Zeke,Male,Fish,2016-09-01
Benji,Female,Rat,2017-05-10
Foxy,Other,Rabbit,2018-01-15
Fred,Male,Dog,2018-09-18
Isabe,Female,Cat,2019-01-26
Tanne,Other,Bird,2020-01-17
Petey,Male,Snake,2020-05-28
Romeo,Female,Cow,2020-08-26
Chels,Other,Horse,2021-03-06
Dexte,Male,Fish,2021-08-01
Frank,Female,Rat,2006-02-02
Emily,Other,Rabbit,2007-07-22
Logan,Male,Dog,2008-06-13
Chase,Female,Cat,2009-07-24
Haley,Other,Bird,2009-09-23
Jade,Male,Snake,2009-11-07
Onyx,Female,Cow,2010-04-29
Willo,Other,Horse,2010-08-18
Cinna,Male,Fish,2010-09-10
Jenny,Female,Rat,2011-05-05
Sarah,Other,Rabbit,2011-07-18
Dp,Male,Dog,2012-03-11
Rocco,Female,Cat,2012-12-16
Thor,Other,Bird,2013-08-14
Spenc,Male,Snake,2014-01-13
Piper,Female,Cow,2014-03-14
Sunny,Other,Horse,2014-03-28
Babe,Male,Fish,2015-10-25
Koda,Female,Rat,2016-08-08
Mya,Other,Rabbit,2017-01-08
Sara,Male,Dog,2017-08-05
Izzy,Female,Cat,2019-04-27
Mac,Other,Bird,2019-07-19
Pebbl,Male,Snake,2020-02-08
Tess,Female,Cow,2005-05-23
Apoll,Other,Horse,2006-05-11
Abiga,Male,Fish,2007-01-26
Candy,Female,Rat,2007-10-18
Josie,Other,Rabbit,2009-12-20
Ace,Male,Dog,2010-03-06
Chip,Female,Cat,2011-08-29
Grace,Other,Bird,2011-10-06
King,Male,Snake,2012-05-16
Mindy,Female,Cow,2012-09-20
Allie,Other,Horse,2012-12-22
Cheye,Male,Fish,2012-12-24
Molli,Female,Rat,2015-09-24
Reggi,Other,Rabbit,2016-04-11
Benny,Male,Dog,2016-05-24
Caspe,Female,Cat,2016-09-01
Brody,Other,Bird,2017-05-10
Buck,Male,Snake,2018-01-15
Ollie,Female,Cow,2018-09-18
Maxwe,Other,Horse,2019-01-26
Freck,Male,Fish,2020-01-17
Fritz,Female,Rat,2020-05-28
Tippy,Other,Rabbit,2020-08-26
Lexie,Male,Dog,2021-03-06
Gabby,Female,Cat,2021-08-01
Nelli,Other,Bird,2006-02-02
Snowb,Male,Snake,2007-07-22
Brand,Female,Cow,2008-06-13
Alex,Other,Horse,2009-07-24
Goldi,Male,Fish,2009-09-23
Susie,Female,Rat,2009-11-07
Layla,Other,Rabbit,2010-04-29
Elvis,Male,Dog,2010-08-18
Junio,Female,Cat,2010-09-10
Black,Other,Bird,2011-05-05
Clyde,Male,Snake,2011-07-18
Peach,Female,Cow,2012-03-11
Bud,Other,Horse,2012-12-16
Ebony,Male,Fish,2013-08-14
Rosco,Female,Rat,2014-01-13
Harry,Other,Rabbit,2014-03-14
Tara,Male,Dog,2014-03-28
Tyler,Female,Cat,2015-10-25
Ozzy,Other,Bird,2016-08-08
Angus,Male,Snake,2017-01-08
Raven,Female,Cow,2017-08-05
Winni,Other,Horse,2019-04-27
Brady,Male,Fish,2019-07-19
Reese,Female,Rat,2020-02-08
Ella,Other,Rabbit,2005-05-23
Ozzie,Male,Dog,2006-05-11
Chewy,Female,Cat,2007-01-26
Xena,Other,Bird,2007-10-18
Sable,Male,Snake,2009-12-20
Scrap,Female,Cow,2010-03-06
Odie,Other,Horse,2011-08-29
Range,Male,Fish,2011-10-06
Ziggy,Female,Rat,2012-05-16
Sarge,Other,Rabbit,2012-09-20
Biscu,Male,Dog,2012-12-22
Crick,Female,Cat,2012-12-24
Eddie,Other,Bird,2015-09-24
Thund,Male,Snake,2016-04-11
Cuddl,Female,Cow,2016-05-24
Jewel,Other,Horse,2016-09-01
Boo,Male,Fish,2017-05-10
Quinc,Female,Rat,2018-01-15
Storm,Other,Rabbit,2018-09-18
Calli,Male,Dog,2019-01-26
Sage,Female,Cat,2020-01-17
Blaze,Other,Bird,2020-05-28
Daisy,Male,Snake,2020-08-26
Yogi,Female,Cow,2021-03-06
Jacki,Other,Horse,2021-08-01
Nina,Male,Fish,2006-02-02
Gypsy,Female,Rat,2007-07-22
Savan,Other,Rabbit,2008-06-13
Scruf,Male,Dog,2009-07-24
Sophi,Female,Cat,2009-09-23
Butch,Other,Bird,2009-11-07
Fluff,Male,Snake,2010-04-29
Dudle,Female,Cow,2010-08-18
Kayla,Other,Horse,2010-09-10
Maxim,Male,Fish,2011-05-05
Zena,Female,Rat,2011-07-18
Dalla,Other,Rabbit,2012-03-11
Macy,Male,Dog,2012-12-16
Duffy,Female,Cat,2013-08-14
Taffy,Other,Bird,2014-01-13
Bosco,Male,Snake,2014-03-14
Maxin,Female,Cow,2014-03-28
Lizzi,Other,Horse,2015-10-25
Sabri,Male,Fish,2016-08-08
Colby,Female,Rat,2017-01-08
Kasey,Other,Rabbit,2017-08-05
Spot,Male,Dog,2019-04-27
Gretc,Female,Cat,2019-07-19
Comet,Other,Bird,2020-02-08
Suzie,Male,Snake,2005-05-23
Pearl,Female,Cow,2006-05-11
Toots,Other,Horse,2007-01-26
Cindy,Male,Fish,2007-10-18
Maver,Female,Rat,2009-12-20
Sidne,Other,Rabbit,2010-03-06
Hank,Male,Dog,2011-08-29
Tigge,Female,Cat,2011-10-06
Mason,Other,Bird,2012-05-16
Miley,Male,Snake,2012-09-20
Kirby,Female,Cow,2012-12-22
Otto,Other,Horse,2012-12-24
Tiny,Male,Fish,2015-09-24
Maggie,Female,Rat,2016-04-11
Taylo,Other,Rabbit,2016-05-24
Maddy,Male,Dog,2016-09-01
Sonny,Female,Cat,2017-05-10
Tessa,Other,Bird,2018-01-15
Andy,Male,Snake,2018-09-18
Kobe,Female,Cow,2019-01-26
Nikit,Other,Horse,2020-01-17
Abbie,Male,Fish,2020-05-28
Boots,Female,Rat,2020-08-26
Pete,Other,Rabbit,2021-03-06
Corky,Male,Dog,2021-08-01
Daise,Female,Cat,2006-02-02
Gidge,Other,Bird,2007-07-22
Hercu,Male,Snake,2008-06-13
Jax,Female,Cow,2009-07-24
Clanc,Other,Horse,2009-09-23
Tinke,Male,Fish,2009-11-07
Niko,Female,Rat,2010-04-29
Hope,Other,Rabbit,2010-08-18
Jada,Male,Dog,2010-09-10
Snugg,Female,Cat,2011-05-05
Gigi,Other,Bird,2011-07-18
Skipp,Male,Snake,2012-03-11
Skipp,Female,Cow,2012-12-16
Zack,Other,Horse,2013-08-14
Kelse,Male,Fish,2014-01-13
Happy,Female,Rat,2014-03-14
Mikey,Other,Rabbit,2014-03-28
Delil,Male,Dog,2015-10-25
Noah,Female,Cat,2016-08-08
Greta,Other,Bird,2017-01-08
Guinn,Male,Snake,2017-08-05
Indy,Female,Cow,2019-04-27
Seamu,Other,Horse,2019-07-19
Sebas,Male,Fish,2020-02-08
Monty,Female,Rat,2005-05-23
Red,Other,Rabbit,2006-05-11
Dutch,Male,Dog,2007-01-26
Eli,Female,Cat,2007-10-18
Spank,Other,Bird,2009-12-20
Berni,Male,Snake,2010-03-06
Mitzi,Female,Cow,2011-08-29
Olivi,Other,Horse,2011-10-06
Cole,Male,Fish,2012-05-16
Mack,Female,Rat,2012-09-20
Queen,Other,Rabbit,2012-12-22
Tiger,Male,Dog,2012-12-24
Timbe,Female,Cat,2015-09-24
Willy,Other,Bird,2016-04-11
Mojo,Male,Snake,2016-05-24
Sissy,Female,Cow,2016-09-01
Autum,Other,Horse,2017-05-10
Remin,Male,Fish,2018-01-15
Rose,Female,Rat,2018-09-18
Yukon,Other,Rabbit,2019-01-26
Butto,Male,Dog,2020-01-17
Tia,Female,Cat,2020-05-28
Woody,Other,Bird,2020-08-26
Dante,Male,Snake,2021-03-06
Pixie,Female,Cow,2021-08-01
Remy,Other,Horse,2006-02-02
Parke,Male,Fish,2007-07-22
Sabre,Female,Rat,2008-06-13
Sweet,Other,Rabbit,2009-07-24
Troop,Male,Dog,2009-09-23
Bridg,Female,Cat,2009-11-07
Britt,Other,Bird,2010-04-29
Daphn,Male,Snake,2010-08-18
Brodi,Female,Cow,2010-09-10
Jazz,Other,Horse,2011-05-05
Reill,Male,Fish,2011-07-18
Reba,Female,Rat,2012-03-11
Loki,Other,Rabbit,2012-12-16
Merli,Male,Dog,2013-08-14
Dylan,Female,Cat,2014-01-13
Lacy,Other,Bird,2014-03-14
Moe,Male,Snake,2014-03-28
Koko,Female,Cow,2015-10-25
Skye,Other,Horse,2016-08-08
Teddy,Male,Fish,2017-01-08
Hanna,Female,Rat,2017-08-05
Shilo,Other,Rabbit,2019-04-27
Austi,Male,Dog,2019-07-19
Pumpk,Female,Cat,2020-02-08
Hazel,Other,Bird,2005-05-23
Matti,Male,Snake,2006-05-11
Cali,Female,Cow,2007-01-26
Nicky,Other,Horse,2007-10-18
Bob,Male,Fish,2009-12-20
Liber,Female,Rat,2010-03-06
Patch,Other,Rabbit,2011-08-29
Moses,Male,Dog,2011-10-06
Polly,Female,Cat,2012-05-16
Sammi,Other,Bird,2012-09-20
Archi,Male,Snake,2012-12-22
Homer,Female,Cow,2012-12-24
Monta,Other,Horse,2015-09-24
Baron,Male,Fish,2016-04-11
Isabe,Female,Rat,2016-05-24
Jenna,Other,Rabbit,2016-09-01
Tiffa,Male,Dog,2017-05-10
Haile,Female,Cat,2018-01-15
Kodia,Other,Bird,2018-09-18
Cryst,Male,Snake,2019-01-26
Kody,Female,Cow,2020-01-17
Magic,Other,Horse,2020-05-28
Hudso,Male,Fish,2020-08-26
Paco,Female,Rat,2021-03-06
Ruger,Other,Rabbit,2021-08-01
Titan,Male,Dog,2006-02-02
Caesa,Female,Cat,2007-07-22
Chief,Other,Bird,2008-06-13
Fiona,Male,Snake,2009-07-24
Ty,Female,Cow,2009-09-23
Billy,Other,Horse,2009-11-07
Bruis,Male,Fish,2010-04-29
Molso,Female,Rat,2010-08-18
April,Other,Rabbit,2010-09-10
Annab,Male,Dog,2011-05-05
Ernie,Female,Cat,2011-07-18
Guine,Other,Bird,2012-03-11
Flash,Male,Snake,2012-12-16
Kodi,Female,Cow,2013-08-14
Carly,Other,Horse,2014-01-13
Mugsy,Male,Fish,2014-03-14
Natas,Female,Rat,2014-03-28
Olive,Other,Rabbit,2015-10-25
Chipp,Male,Dog,2016-08-08
Mimi,Female,Cat,2017-01-08
Kane,Other,Bird,2017-08-05
Lexus,Male,Snake,2019-04-27
Jill,Female,Cow,2019-07-19
Troub,Other,Horse,2020-02-08
Rebel,Male,Fish,2005-05-23
Sunsh,Female,Rat,2006-05-11
Rambo,Other,Rabbit,2007-01-26
Merce,Male,Dog,2007-10-18
Lizzy,Female,Cat,2009-12-20
Lucas,Other,Bird,2010-03-06
Spunk,Male,Snake,2011-08-29
Summe,Female,Cow,2011-10-06
Athen,Other,Horse,2012-05-16
Maxie,Male,Fish,2012-09-20
Miles,Female,Rat,2012-12-22
Ally,Other,Rabbit,2012-12-24
Cash,Male,Dog,2015-09-24
Darby,Female,Cat,2016-04-11
Barkl,Other,Bird,2016-05-24
Chopp,Male,Snake,2016-09-01
Wilso,Female,Cow,2017-05-10
Ashle,Other,Horse,2018-01-15
Pugsl,Male,Fish,2018-09-18
Sky,Female,Rat,2019-01-26
Levi,Other,Rabbit,2020-01-17
Phoen,Male,Dog,2020-05-28
Wally,Female,Cat,2020-08-26
Madel,Other,Bird,2021-03-06
Megan,Male,Snake,2021-08-01
Ralph,Female,Cow,2006-02-02
Tobey,Other,Horse,2007-07-22
Dodge,Male,Fish,2008-06-13
Kona,Female,Rat,2009-07-24
Shea,Other,Rabbit,2009-09-23
Puppy,Male,Dog,2009-11-07
Bingo,Female,Cat,2010-04-29
Angie,Other,Bird,2010-08-18
Jorda,Male,Snake,2010-09-10
Major,Female,Cow,2011-05-05
